taxonKey,scientificName,n_occurrences_natura,n_sites,n_ms,year_min,year_max,n_years,temporal_span,temporal_completeness
2492949,"Sylvia undata (Boddaert, 1783)",17632,384,5,1931,2025,59,94,0.6210526315789474
2492953,"Sylvia melanothorax Tristram, 1872",55,18,1,1902,2025,14,123,0.11290322580645161
2492955,"Sylvia nisoria (Bechstein, 1792)",16681,387,17,1922,2025,72,103,0.6923076923076923
2492965,"Sylvia sarda Temminck, 1820",61,21,3,1996,2025,20,29,0.6666666666666666
2493114,"Acrocephalus paludicola (Vieillot, 1817)",1522,145,15,1915,2025,51,110,0.4594594594594595
2493124,"Acrocephalus melanopogon (Temminck, 1823)",10618,283,12,1933,2025,61,92,0.6559139784946236
2493219,"Hippolais olivetorum (Strickland, 1837)",254,37,4,1903,2024,26,121,0.21311475409836064
2494394,"Bucanetes githagineus (M.H.K.Lichtenstein, 1823)",2204,76,8,1984,2025,32,41,0.7619047619047619
2494442,"Fringilla teydea Webb, Berthelot & Moquin-Tandon, 1836",121,6,1,1986,2025,19,39,0.475
2495406,"Columba trocaz Heineken, 1829",373,6,1,2002,2025,20,23,0.8333333333333334
2495427,"Columba bollii Godman, 1872",1729,36,1,1995,2025,25,30,0.8064516129032258
2495434,"Columba junoniae Hartert, 1916",1484,37,1,1982,2025,35,43,0.7954545454545454
2495459,"Columba palumbus azorica Hartert, 1905",29548,34,1,1964,2025,17,61,0.27419354838709675
2497295,"Asio flammeus (Pontoppidan, 1763)",33686,1214,24,1849,2025,78,176,0.4406779661016949
2497509,"Strix uralensis Pallas, 1771",2578,310,14,1963,2025,63,62,1.0
2497522,"Strix nebulosa J.R.Forster, 1772",763,143,4,1974,2025,42,51,0.8076923076923077
2497894,"Surnia ulula (Linnaeus, 1758)",5165,459,6,1908,2025,64,117,0.5423728813559322
2498015,"Tadorna ferruginea (Pallas, 1764)",34501,1119,23,1955,2025,65,70,0.9154929577464789
2498026,"Anser erythropus (Linnaeus, 1758)",15081,334,16,1930,2025,76,95,0.7916666666666666
2498259,"Aythya nyroca (Güldenstädt, 1770)",13887,786,25,1909,2025,64,116,0.5470085470085471
2498285,"Mergellus albellus (Linnaeus, 1758)",130637,1446,24,1838,2025,79,187,0.42021276595744683
2498286,"Mergus albellus Linnaeus, 1758",713,99,5,1970,2024,36,54,0.6545454545454545
2498302,"Oxyura leucocephala (Scopoli, 1769)",3883,88,10,1988,2025,37,37,0.9736842105263158
2498347,"Cygnus cygnus (Linnaeus, 1758)",241868,3016,21,1838,2025,83,187,0.44148936170212766
2498390,"Marmaronetta angustirostris (Ménétries, 1832)",3941,97,7,1978,2025,42,47,0.875
4408378,"Falco gallicus Gmelin, 1788",22,4,1,2013,2014,2,1,1.0
4408379,"Falco apivorus Linnaeus, 1758",6,4,1,2013,2018,2,5,0.3333333333333333
4408405,"Accipiter gentilis arrigonii (O.Kleinschmidt, 1903)",2,2,1,2019,2019,1,0,1.0
4408410,"Accipiter nisus granti Sharpe, 1890",96,28,2,1999,2025,16,26,0.5925925925925926
4408427,"Ardea nycticorax Linnaeus, 1758",1,1,1,2011,2011,1,0,1.0
4408431,"Ardea garzetta Linnaeus, 1766",6,2,1,1995,2008,3,13,0.21428571428571427
4408440,"Ardea ciconia Linnaeus, 1758",1,1,1,2013,2013,1,0,1.0
4408455,"Hydrobates pelagicus (Linnaeus, 1758)",1825,183,9,1879,2025,49,146,0.3333333333333333
4408479,"Phalacrocorax aristotelis desmarestii (Payraudeau, 1826)",4167,51,2,1962,2022,38,60,0.6229508196721312
4408498,"Crex crex (Linnaeus, 1758)",15009,884,24,1924,2025,76,101,0.7450980392156863
4408599,"Charadrius oedicnemus Linnaeus, 1758",1,1,1,1991,1991,1,0,1.0
4408635,"Strix flammea Pontoppidan, 1763",4,3,1,2012,2012,1,0,1.0
4408732,"Luscinia svecica (Linnaeus, 1758)",54902,1297,22,1905,2025,73,120,0.6033057851239669
4408795,"Certhia brachydactyla dorotheae Hartert, 1904",311,3,1,2012,2025,13,13,0.9285714285714286
