taxonKey,scientificName,n_occurrences_natura,n_sites,n_ms,year_min,year_max,n_years,temporal_span,temporal_completeness
3107361,"Senecio ovatus (G.Gaertn., E.Mey. & Scherb.) Willd.",6043,1013,18,1873,2025,83,152,0.5424836601307189
3107363,Senecio fuchsii C.C.Gmel.,1029,11,3,2018,2022,4,4,0.8
3107479,Senecio flavus (Decne.) Sch.Bip.,59,16,1,1990,2025,22,35,0.6111111111111112
3107483,Senecio decaisnei DC.,1,1,1,1989,1989,1,0,1.0
3107708,Senecio doronicum (L.) L.,3821,220,8,1885,2025,62,140,0.4397163120567376
3107839,Senecio nemorensis L.,921,115,11,1955,2025,35,70,0.49295774647887325
3107845,Senecio fluviatilis Wallr.,6,3,2,1988,2022,4,34,0.11428571428571428
3107855,Senecio viscosus L.,4085,927,17,1826,2025,104,199,0.52
3107896,Senecio gallicus Chaix,442,113,5,1957,2025,42,68,0.6086956521739131
3107899,Senecio alboranicus Maire,16,2,1,2000,2002,2,2,0.6666666666666666
3107958,Senecio nebrodensis L.,136,34,1,1935,2017,26,82,0.3132530120481928
3107987,Senecio sylvaticus L.,7418,1244,20,1817,2025,122,208,0.583732057416268
3108080,Senecio lagascanus DC.,272,49,1,1980,2021,31,41,0.7380952380952381
3108090,Senecio incrassatus Lowe,155,12,2,2004,2025,10,21,0.45454545454545453
3108191,Senecio doria L.,380,110,9,1850,2025,52,175,0.29545454545454547
3108312,Senecio legionensis Lange,7,5,1,1995,2024,5,29,0.16666666666666666
3108351,Senecio macedonicus Griseb.,7,7,2,2019,2024,2,5,0.3333333333333333
3108430,Senecio crassifolius Willd.,3,3,2,1925,2012,2,87,0.022727272727272728
3108488,Senecio carpetanus Boiss. & Reut.,128,28,1,1973,2023,9,50,0.17647058823529413
3108531,Senecio linifolius L.,3,2,1,1988,1997,3,9,0.3
3108551,Senecio umbrosus Waldst. & Kit.,34,15,4,1990,2025,11,35,0.3055555555555556
3108668,Senecio cacaliaster Lam.,434,63,9,1848,2025,48,177,0.2696629213483146
3108683,Senecio varicosus L.fil.,79,19,1,1978,2025,21,47,0.4375
3108684,Senecio rodriguezii Willk. ex Rodr.,44,17,1,1951,2023,14,72,0.1917808219178082
3108685,Senecio glaucus L.,17,13,3,1999,2025,7,26,0.25925925925925924
3108757,Senecio mikanioides Otto,5,5,2,1998,2023,4,25,0.15384615384615385
3108768,Senecio bayonnensis Boiss.,29,13,2,2004,2025,11,21,0.5
3108802,Senecio ruthenensis Mazuc & Timb.-Lagr.,2,1,1,2016,2020,2,4,0.4
3108866,Senecio lopezii Boiss.,10,4,2,1925,2022,8,97,0.08163265306122448
3108888,Senecio nevadensis Boiss. & Reut.,16,3,1,1837,2025,11,188,0.0582010582010582
3108895,Senecio massaicus (Maire) Maire,30,10,1,2012,2023,7,11,0.5833333333333334
3108983,Senecio vulgaris L.,15440,2373,25,1886,2025,125,139,0.8928571428571429
3109086,Senecio inaequidens DC.,27802,1169,18,1974,2025,49,51,0.9423076923076923
3109117,Senecio squalidus L.,77,55,11,1981,2025,23,44,0.5111111111111111
3112721,Cirsium latifolium Lowe,41,3,1,2004,2025,8,21,0.36363636363636365
3113465,Cirsium brachycephalum Jur.,153,38,4,1922,2025,19,103,0.18269230769230768
3114589,Carduus myriacanthus Salzm. ex DC.,7,3,1,1992,2018,4,26,0.14814814814814814
3120878,Artemisia genipi Stechm.,90,31,4,1860,2025,24,165,0.14457831325301204
3120923,Artemisia laciniata Willd.,3,2,1,1901,1964,2,63,0.03125
3120940,Artemisia oelandica (Besser) Krasch.,2,1,1,2012,2013,2,1,1.0
3121387,Artemisia pancicii Ronniger ex Danihelka & Marhold,84,9,2,1922,2025,28,103,0.2692307692307692
3121429,Artemisia granatensis Boiss.,32,1,1,1844,2024,9,180,0.049723756906077346
3125941,Santolina semidentata Hoffmanns. & Link,1341,17,2,1991,2023,15,32,0.45454545454545453
3125943,Santolina elegans Boiss. ex DC.,35,6,1,1980,2022,11,42,0.2558139534883721
3127662,Centaurea akamantis T.Georgiadis & Hadjik.,2,2,1,2019,2019,1,0,1.0
3127672,Centaurea pinnata Pau ex Vicioso,36,6,1,1987,2018,11,31,0.34375
3127717,Centaurea immanuelis-loewii Degen,2,2,1,2014,2015,2,1,1.0
3127794,Centaurea citricolor Font Quer,63,4,1,1978,2020,13,42,0.3023255813953488
3127924,Centaurea fraylensis Sch.Bip. ex Nyman,36,3,1,,,0,,
3127926,Rhaponticoides fraylensis (Nyman) M.V.Agab. & Greuter,12,3,1,2023,2025,2,2,0.6666666666666666
3128049,Centaurea heldreichii Halácsy,3,3,1,2006,2021,2,15,0.125
3128138,Centaurea gadorensis Blanca,33,2,1,1992,2021,11,29,0.36666666666666664
3128141,Centaurea rothmalerana (Arènes) Dostál,10,1,1,,,0,,
3128353,Centaurea kartschiana Scop.,14,5,2,2008,2024,6,16,0.35294117647058826
3128595,Centaurea corymbosa Pourr.,2,2,1,2024,2024,1,0,1.0
3128734,Centaurea pulvinata (Blanca) Blanca,43,1,1,1996,2020,4,24,0.16
3128787,Centaurea borjae Valdés Berm. & Rivas Goday,28,2,1,2017,2017,1,0,1.0
3128839,Centaurea pontica Prodan & Nyár.,2,2,1,2021,2021,1,0,1.0
3130994,Tephroseris elodes (Boiss. ex DC.) Holub,9,2,1,2014,2021,4,7,0.5
3130996,Senecio elodes Boiss. ex DC.,1,1,1,2004,2004,1,0,1.0
3131080,Tephroseris coincyi (Rouy) Holub,7,3,1,2015,2015,1,0,1.0
3131272,"Helichrysum melitense (Pignatti) Brullo, Lanfr., Pavone & Ronsisv.",14,2,1,2011,2023,4,12,0.3076923076923077
3131776,Helichrysum monogynum B.L.Burtt & Sunding,4,4,1,2021,2021,1,0,1.0
3132537,Hymenostemma pseudanthemis (Kunze) Willk.,13,4,1,1993,2018,6,25,0.23076923076923078
3133531,Scorzoneroides microcephala (Boiss. ex DC.) Holub,217,1,1,1977,2021,12,44,0.26666666666666666
3133533,Leontodon microcephalus (Boiss. ex DC.) Boiss.,12,1,1,1923,1997,8,74,0.10666666666666667
3137527,Leontodon boryi Boiss. ex DC.,26,2,1,1844,2024,17,180,0.09392265193370165
3138267,Centaurea balearica J.J.Rodr.,1,1,1,1985,1985,1,0,1.0
3142177,Leuzea longifolia Hoffmanns. & Link,1,1,1,,,0,,
3142178,Rhaponticum exaltatum (Willk.) Greuter,9,8,1,1948,1969,2,21,0.09090909090909091
3142179,Stemmacantha exaltata (Cutanda) Dittrich,7,3,1,1983,2001,3,18,0.15789473684210525
3142181,Leuzea rhaponticoides Graells,7,4,1,2003,2016,3,13,0.21428571428571427
3142206,Stemmacantha cynaroides (C.Sm.) Dittrich,8,3,1,,,0,,
3150065,Phagnalon saxatile (L.) Cass.,5842,517,5,1906,2025,64,119,0.5333333333333333
3161912,Physoplexis comosa (L.) Schur,256,52,2,1983,2025,23,42,0.5348837209302325
3164483,Musschia aurea (L.f.) Dumort.,37,5,1,2011,2024,7,13,0.5
3164489,Musschia wollastonii Lowe,10,1,1,2014,2024,5,10,0.45454545454545453
3165731,Jasione crispa subsp. serpentinica P.Silva,9,3,1,1993,1993,1,0,1.0
3165744,Jasione crispa subsp. sessiliflora (Boiss. & Reut.) Tutin,52,25,2,1979,2019,14,40,0.34146341463414637
3165764,Jasione maritima (Duby) L.M.Dufour ex Merino,104,58,4,1996,2025,11,29,0.36666666666666664
3165766,Jasione montana var. maritima Duby,4,2,1,2022,2022,1,0,1.0
3165767,Jasione maritima var. sabularia (Cout.) Sales & Hedge,1,1,1,1983,1983,1,0,1.0
3165771,Jasione montana var. sabularia Cout.,1,1,1,1983,1983,1,0,1.0
3166266,Azorina vidalii (H.C.Watson) Feer,542,20,1,1897,2025,23,128,0.17829457364341086
3168046,Favratia zoysii (Wulfen) Feer,190,12,3,2005,2025,16,20,0.7619047619047619
3168262,Asyneuma giganteum (Boiss.) Bornm.,2,2,1,2019,2019,1,0,1.0
3169315,Cyclamen purpurascens Mill.,3835,297,12,1981,2025,32,44,0.7111111111111111
3170040,Gentiana lutea L.,19319,588,13,1898,2025,57,127,0.4453125
3171733,Pedicularis sudetica Willd.,41,3,2,1835,2025,17,190,0.08900523560209424
3171882,Lindernia procumbens (Krock.) Philcox,54,13,3,1995,2024,11,29,0.36666666666666664
3190715,Aldrovanda vesiculosa L.,6,6,3,1923,2013,2,90,0.02197802197802198
3234342,Ficaria Guett.,58,19,8,2000,2025,9,25,0.34615384615384615
3575531,Ceropegia dichotoma subsp. krainzii (Svent.) Bruyns,3,2,1,,,0,,
3594141,Herniaria berlengiana (Chaudhri) Franco,5,2,1,,,0,,
3594304,Herniaria algarvica Chaudhri,10,2,1,,,0,,
3594336,Herniaria litardierei (Gamisans) Greuter & Burdet,44,5,1,1969,2016,10,47,0.20833333333333334
3594401,Herniaria latifolia subsp. litardierei Gamisans,16,5,1,1969,1995,6,26,0.2222222222222222
3595098,Cistus ladanifer subsp. sulcatus (Demoly) P.Monts.,342,4,2,1973,2025,21,52,0.39622641509433965
3595494,"Xolantha globulariifolia (Lam.) Gallego, Muñoz Garm. & C.Navarro",16,7,2,1973,2017,6,44,0.13333333333333333
3595624,Tuberaria major (Willk.) P.Silva & Rozeira,15,3,1,,,0,,
3595627,Helianthemum alypoides Losa & Rivas Goday,526,4,1,1971,2025,25,54,0.45454545454545453
3595738,Tuberaria globulariifolia (Lam.) Willk.,78,13,2,2002,2025,10,23,0.4166666666666667
3595808,Halimium viscosum (Willk.) P.Silva,606,5,1,1997,1997,1,0,1.0
3595815,Halimium verticillatum (Brot.) Sennen,3,2,2,2000,2004,2,4,0.4
